Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 09:20:01,0.37,0.07,0.06
2025-06-29 09:21:02,0.36,0.12,0.06
2025-06-29 09:22:02,0.37,0.15,0.06
2025-06-29 09:23:03,0.36,0.1,0.06
2025-06-29 09:24:03,0.36,0.15,0.06
2025-06-29 09:25:04,0.36,0.13,0.06
2025-06-29 09:26:04,0.36,0.13,0.06
2025-06-29 09:27:05,0.37,0.09,0.06
2025-06-29 09:28:05,0.37,0.12,0.06
2025-06-29 09:29:06,0.36,0.1,0.06
2025-06-29 09:30:07,0.36,0.09,0.06
2025-06-29 09:31:07,0.36,0.12,0.06
2025-06-29 09:32:08,0.36,0.11,0.06
2025-06-29 09:33:08,0.36,0.14,0.06
2025-06-29 09:34:09,0.38,0.11,0.06
2025-06-29 09:35:09,0.36,0.12,0.06
2025-06-29 09:36:10,0.37,0.09,0.06
2025-06-29 09:37:10,0.36,0.1,0.06
2025-06-29 09:38:11,0.35,0.11,0.06
2025-06-29 09:39:11,0.36,0.12,0.06
2025-06-29 09:40:12,0.36,0.09,0.06
2025-06-29 09:41:12,0.36,0.07,0.06
2025-06-29 09:42:13,0.37,0.14,0.06
2025-06-29 09:43:13,0.37,0.14,0.06
2025-06-29 09:44:14,0.38,0.11,0.06
2025-06-29 09:45:14,0.37,0.12,0.06
2025-06-29 09:46:15,0.37,0.11,0.06
2025-06-29 09:47:07,0.35,0.12,0.06
2025-06-29 09:48:07,0.37,0.1,0.06
2025-06-29 09:49:08,0.36,0.09,0.06
2025-06-29 09:50:08,0.35,0.12,0.06
2025-06-29 09:51:09,0.37,0.07,0.06
2025-06-29 09:52:09,0.37,0.11,0.06
2025-06-29 09:53:10,0.35,0.1,0.06
2025-06-29 09:54:10,0.36,0.09,0.06
2025-06-29 09:55:11,0.35,0.1,0.06
2025-06-29 09:56:11,0.36,0.13,0.06
2025-06-29 09:57:12,0.36,0.07,0.06
2025-06-29 09:58:12,0.35,0.1,0.06
2025-06-29 09:59:13,0.35,0.11,0.06
2025-06-29 10:00:13,0.36,0.09,0.06
2025-06-29 10:01:14,0.36,0.12,0.06
2025-06-29 10:02:15,0.36,0.07,0.06
2025-06-29 10:03:15,0.35,0.13,0.06
2025-06-29 10:04:16,0.35,0.08,0.06
2025-06-29 10:05:16,0.35,0.07,0.06
2025-06-29 10:06:17,0.35,0.12,0.06
2025-06-29 10:07:17,0.36,0.12,0.06
